index,op_count,responetime_ns,type
btree_4k,0,5708,write
btree_4k,1000,1917,write
btree_4k,2000,2500,write
btree_4k,3000,2042,write
btree_4k,4000,2292,write
btree_4k,5000,2333,write
btree_4k,6000,2583,write
btree_4k,7000,2584,write
btree_4k,8000,3708,write
btree_4k,9000,2000,write
btree_4k,10000,2042,write
btree_4k,11000,2750,write
btree_4k,12000,2292,write
btree_4k,13000,2791,write
btree_4k,14000,2084,write
btree_4k,15000,2333,write
btree_4k,16000,2958,write
btree_4k,17000,3167,write
btree_4k,18000,2334,write
btree_4k,19000,2500,write
btree_4k,20000,2250,write
btree_4k,21000,4667,read
btree_4k,22000,3375,write
btree_4k,23000,2625,write
btree_4k,24000,3250,write
btree_4k,25000,2625,write
btree_4k,26000,2125,write
btree_4k,27000,2625,write
btree_4k,28000,2542,write
btree_4k,29000,2167,write
btree_4k,30000,2375,write
btree_4k,31000,9833,write
btree_4k,32000,2125,write
btree_4k,33000,2583,write
btree_4k,34000,2208,write
btree_4k,35000,2667,write
btree_4k,36000,2083,write
btree_4k,37000,2292,write
btree_4k,38000,3042,write
btree_4k,39000,3291,write
btree_4k,40000,3958,write
btree_4k,41000,3417,write
btree_4k,42000,3083,write
btree_4k,43000,3041,write
btree_4k,44000,2500,write
btree_4k,45000,2417,write
btree_4k,46000,3000,write
btree_4k,47000,3084,write
btree_4k,48000,5875,read
btree_4k,49000,2917,write
btree_4k,50000,3250,write
btree_4k,51000,2458,write
btree_4k,52000,2834,write
btree_4k,53000,2458,write
btree_4k,54000,4125,write
btree_4k,55000,2458,write
btree_4k,56000,3459,write
btree_4k,57000,3083,write
btree_4k,58000,3375,write
btree_4k,59000,3500,write
btree_4k,60000,3000,write
btree_4k,61000,2708,write
btree_4k,62000,3542,write
btree_4k,63000,5375,read
btree_4k,64000,3041,write
btree_4k,65000,3000,write
btree_4k,66000,2833,write
btree_4k,67000,3000,write
btree_4k,68000,3125,write
btree_4k,69000,3792,write
btree_4k,70000,2916,write
btree_4k,71000,5625,read
btree_4k,72000,3000,write
btree_4k,73000,2959,write
btree_4k,74000,3209,write
btree_4k,75000,2709,write
btree_4k,76000,3041,write
btree_4k,77000,3833,write
btree_4k,78000,2959,write
btree_4k,79000,2542,write
btree_4k,80000,3791,write
btree_4k,81000,169500,write
btree_4k,82000,3875,write
btree_4k,83000,2833,write
btree_4k,84000,2334,write
btree_4k,85000,16666,write
btree_4k,86000,2084,write
btree_4k,87000,2208,write
btree_4k,88000,3750,write
btree_4k,89000,6750,write
btree_4k,90000,3542,write
btree_4k,91000,3541,write
btree_4k,92000,3584,write
btree_4k,93000,2625,write
btree_4k,94000,4250,write
btree_4k,95000,3500,write
btree_4k,96000,3209,write
btree_4k,97000,3125,write
btree_4k,98000,4000,write
btree_4k,99000,2625,write
btree_4k,100000,3083,write
btree_4k,101000,3333,write
btree_4k,102000,2792,write
btree_4k,103000,5875,write
btree_4k,104000,4042,write
btree_4k,105000,3875,write
btree_4k,106000,3208,write
btree_4k,107000,3334,write
btree_4k,108000,4334,write
btree_4k,109000,4833,write
btree_4k,110000,5416,write
btree_4k,111000,3500,write
btree_4k,112000,3041,write
btree_4k,113000,3542,write
btree_4k,114000,3792,write
btree_4k,115000,2958,write
btree_4k,116000,3333,write
btree_4k,117000,3292,write
btree_4k,118000,3708,write
btree_4k,119000,3375,write
btree_4k,120000,3500,write
btree_4k,121000,5667,read
btree_4k,122000,2583,write
btree_4k,123000,4083,write
btree_4k,124000,2291,write
btree_4k,125000,3541,write
btree_4k,126000,3209,write
btree_4k,127000,3875,write
btree_4k,128000,4583,write
btree_4k,129000,3417,write
btree_4k,130000,2958,write
btree_4k,131000,2792,write
btree_4k,132000,3875,write
btree_4k,133000,3083,write
btree_4k,134000,3708,write
btree_4k,135000,3625,write
btree_4k,136000,6458,read
btree_4k,137000,4500,write
btree_4k,138000,21334,write
btree_4k,139000,2959,write
btree_4k,140000,3000,write
btree_4k,141000,11542,write
btree_4k,142000,3666,write
btree_4k,143000,2750,write
btree_4k,144000,3750,write
btree_4k,145000,20291,write
btree_4k,146000,3167,write
btree_4k,147000,2584,write
btree_4k,148000,4625,write
btree_4k,149000,3666,write
btree_4k,150000,3750,write
btree_4k,151000,3291,write
btree_4k,152000,3583,write
btree_4k,153000,3125,write
btree_4k,154000,3875,write
btree_4k,155000,3417,write
btree_4k,156000,3541,write
btree_4k,157000,3958,write
btree_4k,158000,4208,write
btree_4k,159000,4042,write
btree_4k,160000,3209,write
btree_4k,161000,3792,write
btree_4k,162000,3625,write
btree_4k,163000,4000,write
btree_4k,164000,8792,read
btree_4k,165000,3667,write
btree_4k,166000,3708,write
btree_4k,167000,3458,write
btree_4k,168000,3500,write
btree_4k,169000,3083,write
btree_4k,170000,3667,write
btree_4k,171000,2584,write
btree_4k,172000,3500,write
btree_4k,173000,2625,write
btree_4k,174000,3167,write
btree_4k,175000,4209,write
btree_4k,176000,4000,write
btree_4k,177000,5791,read
btree_4k,178000,3458,write
btree_4k,179000,3583,write
btree_4k,180000,3708,write
btree_4k,181000,3583,write
btree_4k,182000,3500,write
btree_4k,183000,3584,write
btree_4k,184000,6500,read
btree_4k,185000,4041,write
btree_4k,186000,12792,write
btree_4k,187000,3250,write
btree_4k,188000,2834,write
btree_4k,189000,3833,write
btree_4k,190000,5583,read
btree_4k,191000,3791,write
btree_4k,192000,3958,write
btree_4k,193000,4292,write
btree_4k,194000,6042,read
btree_4k,195000,3958,write
btree_4k,196000,3584,write
btree_4k,197000,4333,write
btree_4k,198000,3792,write
btree_4k,199000,3375,write
btree_4k,200000,4292,write
btree_4k,201000,4584,write
btree_4k,202000,3542,write
btree_4k,203000,3708,write
btree_4k,204000,3750,write
btree_4k,205000,4584,write
btree_4k,206000,3292,write
btree_4k,207000,4208,write
btree_4k,208000,3167,write
btree_4k,209000,4250,write
btree_4k,210000,4292,write
btree_4k,211000,4125,write
btree_4k,212000,2208,write
btree_4k,213000,3417,write
btree_4k,214000,4333,write
btree_4k,215000,4083,write
btree_4k,216000,3792,write
btree_4k,217000,7625,write
btree_4k,218000,3750,write
btree_4k,219000,3667,write
