index,op_count,ops_per_sec,cumulative_ops
btree_4k,100000,250209.52,100000
btree_4k,200000,208637.12,200000
btree_4k,300000,197591.51,300000
btree_4k,400000,195047.45,400000
btree_4k,500000,192833.86,500000
btree_4k,600000,186550.91,600000
btree_4k,700000,185808.96,700000
btree_4k,800000,183149.11,800000
btree_4k,900000,178488.35,900000
btree_4k,1000000,174569.50,1000000
btree_4k,1100000,172360.13,1100000
btree_4k,1200000,169085.80,1200000
btree_4k,1300000,165805.12,1300000
btree_4k,1400000,164161.98,1400000
btree_4k,1500000,163850.11,1500000
btree_4k,1600000,162623.17,1600000
btree_4k,1700000,161279.68,1700000
btree_4k,1800000,160926.72,1800000
btree_4k,1900000,158312.33,1900000
btree_4k,2000000,157278.21,2000000
btree_4k,2100000,145775.19,2100000
btree_4k,2200000,151228.77,2200000
btree_4k,2300000,153425.79,2300000
btree_4k,2400000,152233.95,2400000
btree_4k,2500000,151197.27,2500000
btree_4k,2600000,151268.22,2600000
btree_4k,2700000,148171.28,2700000
btree_4k,2800000,149677.36,2800000
btree_4k,2900000,147291.11,2900000
btree_4k,3000000,147401.67,3000000
btree_4k,3100000,148081.60,3100000
btree_4k,3200000,147769.27,3200000
btree_4k,3300000,148822.75,3300000
btree_4k,3400000,86130.32,3400000
btree_4k,3500000,124390.49,3500000
btree_4k,3600000,121689.90,3600000
btree_4k,3700000,120675.01,3700000
btree_4k,3800000,122319.98,3800000
btree_4k,3900000,122394.11,3900000
btree_4k,4000000,120403.80,4000000
btree_4k,4100000,120253.51,4100000
btree_4k,4200000,121521.04,4200000
btree_4k,4300000,120808.27,4300000
btree_4k,4400000,125810.02,4400000
btree_4k,4500000,125502.22,4500000
btree_4k,4600000,124106.32,4600000
btree_4k,4700000,123814.66,4700000
btree_4k,4800000,124244.62,4800000
btree_4k,4900000,121271.49,4900000
btree_4k,5000000,121975.17,5000000
btree_8k,100000,279780.61,100000
btree_8k,200000,234524.99,200000
btree_8k,300000,209264.21,300000
btree_8k,400000,195190.62,400000
btree_8k,500000,190023.87,500000
btree_8k,600000,188010.33,600000
btree_8k,700000,187202.64,700000
btree_8k,800000,183683.66,800000
btree_8k,900000,179458.99,900000
btree_8k,1000000,179792.03,1000000
btree_8k,1100000,178353.48,1100000
btree_8k,1200000,175606.63,1200000
btree_8k,1300000,173357.22,1300000
btree_8k,1400000,171968.49,1400000
btree_8k,1500000,168698.19,1500000
btree_8k,1600000,167910.47,1600000
btree_8k,1700000,167072.23,1700000
btree_8k,1800000,167690.78,1800000
btree_8k,1900000,167386.73,1900000
btree_8k,2000000,165929.05,2000000
btree_8k,2100000,165405.34,2100000
btree_8k,2200000,162963.67,2200000
btree_8k,2300000,152651.01,2300000
btree_8k,2400000,159395.20,2400000
btree_8k,2500000,153191.27,2500000
btree_8k,2600000,152740.04,2600000
btree_8k,2700000,150369.57,2700000
btree_8k,2800000,73182.08,2800000
btree_8k,2900000,125698.75,2900000
btree_8k,3000000,125783.87,3000000
