index,op_count,responetime_ns,type
btree_4k,0,14209,read
btree_4k,1000,3750,read
btree_4k,2000,5333,read
btree_4k,3000,5708,read
btree_4k,4000,2416,write
btree_4k,5000,2667,write
btree_4k,6000,3916,read
btree_4k,7000,5500,read
btree_4k,8000,4542,read
btree_4k,9000,5417,read
btree_4k,10000,2458,read
btree_4k,11000,4417,read
btree_4k,12000,3792,read
btree_4k,13000,5833,read
btree_4k,14000,21833,write
btree_4k,15000,4334,read
btree_4k,16000,1250,read
btree_4k,17000,3917,read
btree_4k,18000,3834,read
btree_4k,19000,2542,read
btree_4k,20000,2750,read
btree_4k,21000,3584,read
btree_4k,22000,2708,read
btree_4k,23000,5250,read
btree_4k,24000,4375,read
btree_4k,25000,3125,read
btree_4k,26000,2750,read
btree_4k,27000,4166,read
btree_4k,28000,4125,read
btree_4k,29000,7375,read
btree_4k,30000,5375,read
btree_4k,31000,3750,read
btree_4k,32000,3458,read
btree_4k,33000,6416,read
btree_4k,34000,6000,read
btree_4k,35000,6500,read
btree_4k,36000,4417,read
btree_4k,37000,5041,read
btree_4k,38000,5083,read
btree_4k,39000,3792,read
btree_4k,40000,3542,read
btree_4k,41000,3875,read
btree_4k,42000,4084,read
btree_4k,43000,3459,write
btree_4k,44000,13916,read
btree_4k,45000,2625,read
btree_4k,46000,4000,read
btree_4k,47000,4541,read
btree_4k,48000,3458,read
btree_4k,49000,5458,read
btree_4k,50000,2500,read
btree_4k,51000,3875,read
btree_4k,52000,4083,read
btree_4k,53000,3875,read
btree_4k,54000,4791,read
btree_4k,55000,3916,read
btree_4k,56000,2750,write
btree_4k,57000,3917,read
btree_4k,58000,6125,read
btree_4k,59000,5542,read
btree_4k,60000,4750,read
btree_4k,61000,3792,read
btree_4k,62000,5333,read
btree_4k,63000,5667,read
btree_4k,64000,2583,read
btree_4k,65000,6542,read
btree_4k,66000,5416,read
btree_4k,67000,3916,read
btree_4k,68000,5417,read
btree_4k,69000,4125,read
btree_4k,70000,3958,read
btree_4k,71000,3875,read
btree_4k,72000,2791,read
btree_4k,73000,7542,read
btree_4k,74000,4209,read
btree_4k,75000,3708,read
btree_4k,76000,4458,read
btree_4k,77000,14166,read
btree_4k,78000,3125,read
btree_4k,79000,7125,read
btree_4k,80000,3709,read
btree_4k,81000,4459,read
btree_4k,82000,4667,read
btree_4k,83000,4208,read
btree_4k,84000,4333,read
btree_4k,85000,3792,read
btree_4k,86000,6000,read
btree_4k,87000,3833,read
btree_4k,88000,5917,read
btree_4k,89000,4041,read
btree_4k,90000,4042,read
btree_4k,91000,5917,read
btree_4k,92000,8125,write
btree_4k,93000,6042,read
btree_4k,94000,8917,read
btree_4k,95000,11625,read
btree_4k,96000,1666,read
btree_4k,97000,6917,read
btree_4k,98000,5333,read
btree_4k,99000,3834,read
btree_4k,100000,4958,read
btree_4k,101000,4083,read
btree_4k,102000,5667,read
btree_4k,103000,4042,read
btree_4k,104000,6000,read
btree_4k,105000,4625,write
btree_4k,106000,4125,read
btree_4k,107000,5625,read
btree_4k,108000,4625,read
btree_4k,109000,5500,read
btree_4k,110000,4167,read
btree_4k,111000,4500,read
btree_4k,112000,4667,read
btree_4k,113000,4250,read
btree_4k,114000,9250,read
btree_4k,115000,1958,read
btree_4k,116000,5708,read
btree_4k,117000,4875,read
btree_4k,118000,4958,read
btree_4k,119000,3875,read
