index,op_type,count,min_ns,p50_ns,p95_ns,p99_ns,avg_ns,ops_per_sec
btree_4k,read,949770,250,4625,7833,15541,5168,175755.56
btree_4k,write,50230,1958,4542,15000,26791,5881,9295.09
btree_8k,read,949770,125,4958,8709,16750,5307,171611.93
btree_8k,write,50230,1708,4750,12375,29834,5755,9075.95
btree_16k,read,949770,167,4375,7958,17125,5138,175815.01
btree_16k,write,50230,1916,5459,9833,34542,6268,9298.24
bptree_4k,read,949770,375,2375,3958,11292,2828,308076.55
bptree_4k,write,50230,1292,3209,12375,21083,4085,16293.09
bptree_8k,read,949770,416,2875,4792,12334,3263,269090.49
bptree_8k,write,50230,1417,3833,8041,25500,4579,14231.25
bptree_16k,read,949770,375,3542,5042,13333,3871,228809.26
bptree_16k,write,50230,1583,4709,7792,33583,5321,12100.92
lsm_pebble_16m,read,949770,417,7291,10583,12667,7676,124932.52
lsm_pebble_16m,write,50230,458,1875,4750,6167,2213,6607.24
lsm_pebble_32m,read,949770,458,7333,10500,12625,7695,124519.17
lsm_pebble_32m,write,50230,500,1958,4834,6167,2280,6585.38
lsm_pebble_64m,read,949770,542,7250,10417,12542,7605,126153.52
lsm_pebble_64m,write,50230,417,1834,4750,6042,2168,6671.82
