Structure,Config,TestType,LatencyNs,MemMB,HeapObjects
B-Tree,8,Footprint_SteadyState,125,127,509497
B-Tree,8,Workload_OLTP,375,127,0
B-Tree,8,Workload_OLAP,288,128,0
B-Tree,8,Workload_Range,2449144,0,0
BPlusTree,8,Footprint_SteadyState,110,90,552887
BPlusTree,8,Workload_OLTP,379,90,0
BPlusTree,8,Workload_OLAP,324,91,0
BPlusTree,8,Workload_Range,467,0,0
B-Tree,32,Footprint_SteadyState,90,67,160864
B-Tree,32,Workload_OLTP,253,67,0
B-Tree,32,Workload_OLAP,181,67,0
B-Tree,32,Workload_Range,1071958,0,0
BPlusTree,32,Footprint_SteadyState,90,76,162985
BPlusTree,32,Workload_OLTP,208,76,0
BPlusTree,32,Workload_OLAP,182,76,0
BPlusTree,32,Workload_Range,496,0,0
B-Tree,128,Footprint_SteadyState,127,63,86783
B-Tree,128,Workload_OLTP,197,63,0
B-Tree,128,Workload_OLAP,161,63,0
B-Tree,128,Workload_Range,976087,0,0
BPlusTree,128,Footprint_SteadyState,126,66,86905
BPlusTree,128,Workload_OLTP,192,66,0
BPlusTree,128,Workload_OLAP,156,67,0
BPlusTree,128,Workload_Range,534,0,0
LSM-Tree,1000,Footprint_SteadyState,459,43,64585
LSM-Tree,1000,Workload_OLTP,849,46,0
LSM-Tree,1000,Workload_OLAP,807,63,0
LSM-Tree,1000,Workload_Range,39956952,0,0
LSM-Tree,10000,Footprint_SteadyState,352,44,63120
LSM-Tree,10000,Workload_OLTP,3154,46,0
LSM-Tree,10000,Workload_OLAP,814,63,0
LSM-Tree,10000,Workload_Range,40053793,0,0
